restaurant_id,name,cusine_type,location,owner_name,average_delivery_time,contact_number,rating,total_orders,is_active
2203fecb-6c88-405d-858c-06dc95b3828b,Perez-Woods,French,Port Reginashire,Charles Ramirez,30,890.486.7875x8897,2.54,80,False
35e90f9d-1bfa-4689-9e58-c1d9abdf026f,Jimenez-Jackson,Indian,New Rachaelstad,Eric Weber,25,(868)512-9769x340,1.46,88,True
daa63d7e-b087-48c3-9a81-53e0e4b3e6e1,Knight Group,French,Port Wesleyberg,Christopher Richard,31,995.610.3727,1.88,26,True
ca81f9a1-71c6-41d0-a332-7c4246fdaf05,"Duran, Brown and Alexander",Chinese,Port Jonathan,James Hughes,20,384-975-4269x6744,4.76,65,False
0a5f79cb-72a9-4264-b1e0-4b3cea49e13d,Richardson-Sutton,Chinese,Martinezchester,Daniel Davidson,30,(592)420-5886,3.85,4,False
7c289a69-268e-46b5-b39a-387bca295d45,Gibson-Rodriguez,French,Faithville,Andrew Davis,13,5944653889,3.15,44,True
4a03ccf0-bbf5-4898-8e9f-39fa73f52055,Phillips LLC,French,South Samantha,Alicia Davis,30,001-822-945-5947x685,3.94,90,False
67334dcc-63ff-47ab-862b-6aec0bda6b51,Chen and Sons,Chinese,Port Brookebury,Andrew Jennings,56,+1-669-521-5086x8168,4.54,59,True
d343630d-01ff-4106-b866-2a6b3808e626,Williams PLC,Chinese,Rebeccaborough,Amy Perez,33,+1-793-882-2348x3157,2.98,61,False
c255947f-62b2-44d7-a813-5c95e5ebb2f6,Woods PLC,Italian,Port Jennifer,Stacy Flores DVM,54,812.303.2358,4.09,58,False
e5f52698-9f82-4d45-b77d-5591d3ef9c44,"Jackson, Fischer and Dixon",Indian,Stephenston,Mrs. Audrey Hill,60,414.740.1724x4483,4.38,51,False
2e137c4e-cd9b-4958-9842-b7c09e2d1848,Lambert and Sons,Italian,Port Tylerborough,Christopher James,39,001-322-563-0672x9152,1.95,51,False
468c3ea8-3af3-4616-8952-a8051f503e81,Smith-Fleming,Chinese,East Melanie,Anthony Butler,58,(489)924-2504,3.11,83,False
86381a1a-10dd-460b-9a72-41f31202eb64,King-Kim,Chinese,Underwoodhaven,Rebekah Weaver,36,001-211-859-9023x345,3.54,61,False
1f76a2ff-4a62-431a-b41f-e63f79eab9bf,Wheeler Ltd,French,North Michaelbury,David Little,34,+1-611-524-4376x23868,1.15,76,True
dd154eee-20f7-4589-82fe-48579a23ebc6,"Mcdonald, Hall and Bowman",Italian,Lake Jameshaven,Logan Woods,23,698.621.4560,3.09,51,True
c9c7a2d4-fd62-450c-bc6e-d8fc8dcce174,Brooks-Rodriguez,Mexican,North Brad,Troy Ross,47,+1-236-460-3416x1437,3.2,39,True
27e5a0e0-a663-481d-aa44-b4afab2e9907,Combs-Cortez,French,East Stephanie,Laura Mcguire,41,(437)853-2419,1.73,71,True
3090ea69-2049-433c-99d3-5e4b25418ea0,"Gilbert, King and Miller",Chinese,Ericaberg,Mary Hall,56,(660)579-0887x4626,1.35,9,False
1cb5050b-41dc-4c34-ab6b-cf61c0a9ec3d,"Green, Patel and Moss",Indian,New Michelle,Dana Taylor,58,202-409-1363,1.13,64,True
51329ee2-148a-407a-aed6-08cab8574872,Castro-Ibarra,American,South Sarah,Bob Pierce,49,540.731.5010x4659,4.82,74,False
748aacf9-d57e-4315-8d7a-b1e69eb07fc6,"Gibson, Hancock and Smith",Indian,North Cynthia,Ryan Barrett,14,001-641-541-3899x31908,4.78,32,False
0bfbf11b-dc7b-43f8-8522-0fb1967a44b3,"Hunt, Moses and Herrera",Chinese,Lake Amyborough,Robert Rhodes,43,476.438.8120,2.51,15,False
3283c774-b885-4e69-82ef-b579e04b5c12,Riley-Gutierrez,French,Lake Tammy,Kim Velasquez,38,+1-900-560-1396x2997,3.86,16,False
8cc98c84-c427-425e-b3bb-0d35679f142f,Morris-Adams,Mexican,Chapmanbury,Olivia Carter,53,942-263-8507x69251,3.6,6,False
88d115d8-d219-4039-ae68-851b5a74168e,"Black, Burns and Foster",American,Josephport,Edwin Williams,14,+1-540-704-1601x3557,3.29,40,False
889753f2-2a25-48dd-b9b2-5a46a7bf4557,"Warren, Miller and Foster",Italian,Bethstad,Tami Boyd,37,001-520-365-0579x509,4.31,10,False
eb06bf1a-947e-4bf5-8f72-b55b4538cd32,Brennan Group,American,North Amandaport,Ryan Wilson,23,001-564-246-0408x682,1.9,27,False
6fc6db2b-183f-4396-b4c2-7f5a4750107a,Schmidt-Pierce,American,West Lisa,Laura Weber,49,531-509-6752x1804,4.98,89,False
0b3f9127-647c-4ec6-ad04-8d9fe7b79d7c,"Blackburn, Russell and Carey",Indian,New Lauren,Greg Stanley,29,757.552.3908x818,2.61,46,True
cb4a7174-6885-4ae4-bc5d-a44f3d9119e2,Henry Group,Italian,South Michaelport,April Garcia,15,766.988.2254,1.89,0,False
c101173d-a7d0-49e0-beb2-06567166bd79,Fowler PLC,American,Richardview,Michaela Clark,24,001-645-505-0921x6588,1.71,3,False
f3a51b3f-6c89-489f-8c7d-bf60f917b483,Shah-Burnett,American,Brandonstad,Jacob Vasquez,34,807.532.6089,1.59,3,False
